,precision,recall,f1-score,support
Normal,0.9483204134366925,0.963254593175853,0.9557291666666666,381.0
Fall,0.954248366013072,0.9358974358974359,0.9449838187702265,312.0
accuracy,0.950937950937951,0.950937950937951,0.950937950937951,0.950937950937951
macro avg,0.9512843897248822,0.9495760145366445,0.9503564927184466,693.0
weighted avg,0.9509892752026814,0.950937950937951,0.9508914342803905,693.0
