,precision,recall,f1-score,support
Normal,0.9551451187335093,0.9501312335958005,0.9526315789473684,381.0
Fall,0.9394904458598726,0.9455128205128205,0.9424920127795527,312.0
accuracy,0.948051948051948,0.948051948051948,0.948051948051948,0.948051948051948
macro avg,0.947317782296691,0.9478220270543105,0.9475617958634606,693.0
weighted avg,0.9480971274830409,0.948051948051948,0.9480665794605596,693.0
