,precision,recall,f1-score,support
Normal,0.8883248730964467,0.9186351706036745,0.9032258064516129,381.0
Fall,0.8963210702341137,0.8589743589743589,0.8772504091653028,312.0
accuracy,0.8917748917748918,0.8917748917748918,0.8917748917748918,0.8917748917748918
macro avg,0.8923229716652802,0.8888047647890167,0.8902381078084578,693.0
weighted avg,0.8919248925869979,0.8917748917748918,0.8915312552924085,693.0
