,precision,recall,f1-score,support
Normal,0.9411764705882353,0.9658792650918635,0.9533678756476683,381.0
Fall,0.956953642384106,0.9262820512820513,0.9413680781758957,312.0
accuracy,0.948051948051948,0.948051948051948,0.948051948051948,0.948051948051948
macro avg,0.9490650564861707,0.9460806581869574,0.947367976911782,693.0
weighted avg,0.9482796128686273,0.948051948051948,0.9479653694266104,693.0
