,precision,recall,f1-score,support
Normal,0.9577836411609498,0.952755905511811,0.9552631578947368,762.0
Fall,0.9425837320574163,0.9486356340288925,0.9456,623.0
accuracy,0.9509025270758122,0.9509025270758122,0.9509025270758122,0.9509025270758122
macro avg,0.9501836866091831,0.9506957697703518,0.9504315789473684,1385.0
weighted avg,0.950946425730263,0.9509025270758122,0.9509164810944327,1385.0
