,precision,recall,f1-score,support
Normal,0.9541884816753927,0.9566929133858267,0.9554390563564875,762.0
Fall,0.9468599033816425,0.9438202247191011,0.9453376205787781,623.0
accuracy,0.9509025270758122,0.9509025270758122,0.9509025270758122,0.9509025270758122
macro avg,0.9505241925285176,0.9502565690524639,0.9503883384676328,1385.0
weighted avg,0.9508919442912727,0.9509025270758122,0.950895233620377,1385.0
