,precision,recall,f1-score,support
Normal,0.9251412429378532,0.8595800524934383,0.891156462585034,762.0
Fall,0.8419497784342689,0.9149277688603531,0.8769230769230769,623.0
accuracy,0.8844765342960289,0.8844765342960289,0.8844765342960289,0.8844765342960289
macro avg,0.883545510686061,0.8872539106768957,0.8840397697540554,1385.0
weighted avg,0.8877201004210784,0.8844765342960289,0.8847540082403414,1385.0
