,precision,recall,f1-score,support
Normal,0.9455958549222798,0.958005249343832,0.9517601043024772,381.0
Fall,0.9478827361563518,0.9326923076923077,0.9402261712439418,312.0
accuracy,0.9466089466089466,0.9466089466089466,0.9466089466089466,0.9466089466089466
macro avg,0.9467392955393158,0.9453487785180699,0.9459931377732095,693.0
weighted avg,0.9466254464735503,0.9466089466089466,0.9465673379038292,693.0
