,precision,recall,f1-score,support
Normal,0.9702702702702702,0.9422572178477691,0.9560585885486018,381.0
Fall,0.9318885448916409,0.9647435897435898,0.9480314960629921,312.0
accuracy,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
macro avg,0.9510794075809555,0.9535004037956794,0.9520450423057969,693.0
weighted avg,0.9529901861171212,0.9523809523809523,0.9524446594641715,693.0
