epoch,accuracy,loss,val_accuracy,val_loss
0,0.8092830181121826,0.4442070424556732,0.8513708710670471,0.40559953451156616
1,0.8432363867759705,0.38649582862854004,0.8715728521347046,0.3199182450771332
2,0.82120281457901,0.41135159134864807,0.8196248412132263,0.42671069502830505
3,0.8450424671173096,0.37095680832862854,0.8787878751754761,0.31190380454063416
4,0.7823731303215027,0.47474080324172974,0.8297258019447327,0.3982030153274536
5,0.8242730498313904,0.4176313877105713,0.8585858345031738,0.35604628920555115
6,0.8381795287132263,0.385672926902771,0.8542568683624268,0.3549589514732361
7,0.8636445999145508,0.35294848680496216,0.8989899158477783,0.2944778800010681
8,0.7738847732543945,0.46407896280288696,0.8860028982162476,0.3455660343170166
9,0.8573234677314758,0.3687712848186493,0.8614718317985535,0.3537601828575134
10,0.8500993251800537,0.3671565055847168,0.893217921257019,0.3371279537677765
11,0.825356662273407,0.41345006227493286,0.8860028982162476,0.3233736455440521
12,0.8694238662719727,0.34678053855895996,0.826839804649353,0.4119827151298523
13,0.8298717737197876,0.4078579246997833,0.8282828330993652,0.4124990701675415
14,0.8347480297088623,0.39393457770347595,0.8730158805847168,0.34769687056541443
15,0.8741195797920227,0.33826518058776855,0.822510838508606,0.4124907851219177
16,0.8798988461494446,0.32410943508148193,0.8917748928070068,0.30507752299308777
17,0.8932635188102722,0.3097577691078186,0.9076479077339172,0.27617383003234863
18,0.8659924268722534,0.34731999039649963,0.8989899158477783,0.2909550666809082
19,0.7612425684928894,0.4842248260974884,0.7777777910232544,0.48343589901924133
20,0.8273433446884155,0.38922828435897827,0.9105339050292969,0.2707311809062958
21,0.9039191007614136,0.27776533365249634,0.9105339050292969,0.2615244388580322
22,0.9004876017570496,0.281037837266922,0.8658008575439453,0.3290269076824188
23,0.8880259990692139,0.3005741834640503,0.9235209226608276,0.24451863765716553
24,0.9044609069824219,0.2757399380207062,0.9076479077339172,0.2619466185569763
25,0.8954307436943054,0.29489409923553467,0.9191918969154358,0.25620701909065247
26,0.8927217125892639,0.2865898013114929,0.9177489280700684,0.26137542724609375
27,0.8977785706520081,0.2809317111968994,0.9105339050292969,0.25438088178634644
28,0.8959725499153137,0.29096898436546326,0.9033188819885254,0.2903365194797516
29,0.9098789691925049,0.265444278717041,0.9235209226608276,0.25082874298095703
30,0.8614773154258728,0.360719233751297,0.9004328846931458,0.2845096290111542
31,0.8988621830940247,0.2818034589290619,0.8989899158477783,0.27032801508903503
32,0.9093371629714966,0.26684945821762085,0.9119769334793091,0.23079250752925873
33,0.8927217125892639,0.291610449552536,0.8888888955116272,0.32464858889579773
34,0.9017518758773804,0.27425509691238403,0.8845598697662354,0.2876087427139282
35,0.9062669277191162,0.26473143696784973,0.8961039185523987,0.2683136761188507
36,0.9091565608978271,0.25938376784324646,0.906204879283905,0.2519224286079407
37,0.9198122024536133,0.24269486963748932,0.9249639511108398,0.22377553582191467
38,0.9131298661231995,0.24927939474582672,0.9090909361839294,0.24452902376651764
39,0.9122268557548523,0.24597463011741638,0.9090909361839294,0.2448541522026062
40,0.9160194993019104,0.24466224014759064,0.9292929172515869,0.23757877945899963
41,0.9162001013755798,0.2426498532295227,0.8816738724708557,0.3066467344760895
42,0.9111432433128357,0.25807204842567444,0.9191918969154358,0.2488429993391037
43,0.9033772945404053,0.262611985206604,0.9163058996200562,0.22627264261245728
44,0.9185479283332825,0.23731639981269836,0.9220778942108154,0.20841030776500702
45,0.8611161112785339,0.3375086188316345,0.8398268222808838,0.36654701828956604
46,0.8793570399284363,0.31077876687049866,0.9220778942108154,0.21842007339000702
47,0.8598518967628479,0.341697096824646,0.8528138399124146,0.35971513390541077
48,0.8793570399284363,0.31665271520614624,0.9235209226608276,0.22515268623828888
49,0.9172837138175964,0.24268627166748047,0.9177489280700684,0.254138708114624
50,0.9042803049087524,0.26190271973609924,0.8787878751754761,0.3079008162021637
51,0.9066281318664551,0.2553195357322693,0.9177489280700684,0.23272603750228882
52,0.9115044474601746,0.24548545479774475,0.9220778942108154,0.21117112040519714
53,0.9086147546768188,0.25193676352500916,0.8282828330993652,0.366214781999588
54,0.9060863256454468,0.25189611315727234,0.9264069199562073,0.22467829287052155
55,0.9169225096702576,0.24309983849525452,0.9235209226608276,0.21873851120471954
56,0.920534610748291,0.23394756019115448,0.9220778942108154,0.2333356887102127
57,0.9077117443084717,0.2472034990787506,0.8831169009208679,0.2660333514213562
58,0.9080729484558105,0.24551264941692352,0.9292929172515869,0.21435055136680603
59,0.9012100696563721,0.263194739818573,0.9249639511108398,0.21280556917190552
60,0.9149358868598938,0.2401873916387558,0.920634925365448,0.22750304639339447
61,0.9100595712661743,0.2395743578672409,0.9177489280700684,0.23632794618606567
62,0.9050027132034302,0.25429612398147583,0.893217921257019,0.2581571042537689
63,0.9086147546768188,0.2492106705904007,0.9220778942108154,0.22936174273490906
64,0.9228824377059937,0.22285720705986023,0.9249639511108398,0.21629798412322998
65,0.9201734066009521,0.22516538202762604,0.9350649118423462,0.19461658596992493
66,0.9138522744178772,0.24306116998195648,0.9235209226608276,0.24148333072662354
67,0.9106014370918274,0.2496967911720276,0.9119769334793091,0.23733888566493988
68,0.9228824377059937,0.22400112450122833,0.9321789145469666,0.20987647771835327
69,0.9257720708847046,0.21601618826389313,0.9365079402923584,0.20411451160907745
