,precision,recall,f1-score,support
Normal,0.9651474530831099,0.9448818897637795,0.9549071618037135,381.0
Fall,0.934375,0.9583333333333334,0.9462025316455697,312.0
accuracy,0.950937950937951,0.950937950937951,0.950937950937951,0.950937950937951
macro avg,0.9497612265415549,0.9516076115485564,0.9505548467246416,693.0
weighted avg,0.9512931884915798,0.950937950937951,0.9509881941134669,693.0
