,precision,recall,f1-score,support
Normal,0.9352331606217616,0.94750656167979,0.9413298565840938,381.0
Fall,0.9348534201954397,0.9198717948717948,0.9273021001615509,312.0
accuracy,0.935064935064935,0.935064935064935,0.935064935064935,0.935064935064935
macro avg,0.9350432904086007,0.9336891782757923,0.9343159783728223,693.0
weighted avg,0.9350621952350193,0.935064935064935,0.9350143298830356,693.0
