,precision,recall,f1-score,support
Normal,0.9435897435897436,0.9658792650918635,0.9546044098573282,381.0
Fall,0.9570957095709571,0.9294871794871795,0.943089430894309,312.0
accuracy,0.9494949494949495,0.9494949494949495,0.9494949494949495,0.9494949494949495
macro avg,0.9503427265803503,0.9476832222895215,0.9488469203758185,693.0
weighted avg,0.9496703516505497,0.9494949494949495,0.9494201769042805,693.0
